actorKey,actorName,presentInWorld,threatClass,level,attack,specialization,specializationLabel,damage,pellets,penetration,damageTypes,actionPointCost,actionsPerTurn,hitChance,targetArmorClass,targetArmor,targetArmorCondition,firstActionHealthDamage,firstActionImmediateDamage,firstActionArmorWear,actionsUntilFirstHealthDamage,landedActionsToDefeat,expectedTurnsToDefeat
ghoul:ordinary,Гуль-бродяга,true,C,16,Удар,impact,Силовая,30,1,0,bludgeoning:100%,3,2,95,D,Кожаная броня,250,21,21,14,1,28,14.7
ghoul:ordinary,Гуль-бродяга,true,C,16,Удар,impact,Силовая,30,1,0,bludgeoning:100%,3,2,95,C,Боевая броня,650,6,6,36,1,38,20
ghoul:ordinary,Гуль-бродяга,true,C,16,Удар,impact,Силовая,30,1,0,bludgeoning:100%,3,2,95,B,"Боевая броня, усиленная",1011,0,0,45,15,46,24.2
ghoul:ordinary,Гуль-бродяга,true,C,16,Удар,impact,Силовая,30,1,0,bludgeoning:100%,3,2,95,A,Силовая броня T-60,3400,0,0,45,77,99,52.1
ghoul:ordinary,Гуль-бродяга,true,C,16,Удар,impact,Силовая,30,1,0,bludgeoning:100%,3,2,95,S,Силовая броня T-65,4800,0,0,45,108,130,68.4
ghoul:ordinary,Гуль-бродяга,true,C,16,Пинок,impact,Силовая,35,1,0,bludgeoning:100%,3,2,95,D,Кожаная броня,250,26,26,14,1,24,12.6
ghoul:ordinary,Гуль-бродяга,true,C,16,Пинок,impact,Силовая,35,1,0,bludgeoning:100%,3,2,95,C,Боевая броня,650,11,11,36,1,32,16.8
ghoul:ordinary,Гуль-бродяга,true,C,16,Пинок,impact,Силовая,35,1,0,bludgeoning:100%,3,2,95,B,"Боевая броня, усиленная",1011,0,0,53,5,39,20.5
ghoul:ordinary,Гуль-бродяга,true,C,16,Пинок,impact,Силовая,35,1,0,bludgeoning:100%,3,2,95,A,Силовая броня T-60,3400,0,0,53,66,85,44.7
ghoul:ordinary,Гуль-бродяга,true,C,16,Пинок,impact,Силовая,35,1,0,bludgeoning:100%,3,2,95,S,Силовая броня T-65,4800,0,0,53,92,111,58.4
ghoul:feral,Дикий гуль,true,C,14,Когти,rend,Рубящая,40,1,3,slashing:100%,3,2,95,D,Кожаная броня,250,32,32,8,1,21,11.1
ghoul:feral,Дикий гуль,true,C,14,Когти,rend,Рубящая,40,1,3,slashing:100%,3,2,95,C,Боевая броня,650,16,16,24,1,32,16.8
ghoul:feral,Дикий гуль,true,C,14,Когти,rend,Рубящая,40,1,3,slashing:100%,3,2,95,B,"Боевая броня, усиленная",1011,0,0,40,7,43,22.6
ghoul:feral,Дикий гуль,true,C,14,Когти,rend,Рубящая,40,1,3,slashing:100%,3,2,95,A,Силовая броня T-60,3400,0,0,40,86,102,53.7
ghoul:feral,Дикий гуль,true,C,14,Когти,rend,Рубящая,40,1,3,slashing:100%,3,2,95,S,Силовая броня T-65,4800,0,0,40,121,137,72.1
ghoul:feral,Дикий гуль,true,C,14,Укус,puncture,Пробивная,26,1,11,piercing:100%,3,2,95,D,Кожаная броня,250,26,26,0,1,26,13.7
ghoul:feral,Дикий гуль,true,C,14,Укус,puncture,Пробивная,26,1,11,piercing:100%,3,2,95,C,Боевая броня,650,0,0,26,7,52,27.4
ghoul:feral,Дикий гуль,true,C,14,Укус,puncture,Пробивная,26,1,11,piercing:100%,3,2,95,B,"Боевая броня, усиленная",1011,0,0,26,33,66,34.7
ghoul:feral,Дикий гуль,true,C,14,Укус,puncture,Пробивная,26,1,11,piercing:100%,3,2,95,A,Силовая броня T-60,3400,0,0,26,132,157,82.6
ghoul:feral,Дикий гуль,true,C,14,Укус,puncture,Пробивная,26,1,11,piercing:100%,3,2,95,S,Силовая броня T-65,4800,0,0,26,186,211,111.1
ghoul:reaver,Гуль-потрошитель,true,B,38,Когти,rend,Рубящая,80,1,8,slashing:100%,5,2,95,D,Кожаная броня,250,77,77,3,1,9,4.7
ghoul:reaver,Гуль-потрошитель,true,B,38,Когти,rend,Рубящая,80,1,8,slashing:100%,5,2,95,C,Боевая броня,650,61,61,19,1,11,5.8
ghoul:reaver,Гуль-потрошитель,true,B,38,Когти,rend,Рубящая,80,1,8,slashing:100%,5,2,95,B,"Боевая броня, усиленная",1011,45,45,35,1,15,7.9
ghoul:reaver,Гуль-потрошитель,true,B,38,Когти,rend,Рубящая,80,1,8,slashing:100%,5,2,95,A,Силовая броня T-60,3400,0,0,80,44,52,27.4
ghoul:reaver,Гуль-потрошитель,true,B,38,Когти,rend,Рубящая,80,1,8,slashing:100%,5,2,95,S,Силовая броня T-65,4800,0,0,80,61,69,36.3
ghoul:reaver,Гуль-потрошитель,true,B,38,Потрошение,flurry,Серия,35,1,5,slashing:100%,9,1,95,D,Кожаная броня,250,87,87,18,1,8,8.4
