actorKey,actorName,presentInWorld,threatClass,level,experience,actionPoints,attack,specialization,specializationLabel,damage,pellets,penetration,damageTypes,skill,attackSkill,hitDifficulty,hitChance,actions,benchmarkAction,actionPointCost,actionsPerTurn,targetArmor,targetArmorCondition,firstActionHealthDamage,firstActionImmediateDamage,firstActionArmorWear,actionsUntilFirstHealthDamage,landedActionsToDefeat,expectedTurnsToDefeat,unarmoredLandedActionsToDefeat,unarmoredExpectedTurnsToDefeat,torsoResistance
ghoul:ordinary,Гуль-бродяга,true,C,16,21200,8,Удар,impact,Силовая,30,1,0,bludgeoning:100%,meleeCombat,90,82,95,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,2,Боевая броня,650,6,6,36,1,38,20,23,12.1,"{""piercing"":13,""slashing"":14,""bludgeoning"":11,""firearm"":10,""energy"":8,""fire"":6,""cryo"":8,""electric"":5,""acid"":8,""poison"":21,""radiation"":28}"
ghoul:ordinary,Гуль-бродяга,true,C,16,21200,8,Пинок,impact,Силовая,35,1,0,bludgeoning:100%,meleeCombat,90,82,95,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,2,Боевая броня,650,11,11,36,1,32,16.8,20,10.5,"{""piercing"":13,""slashing"":14,""bludgeoning"":11,""firearm"":10,""energy"":8,""fire"":6,""cryo"":8,""electric"":5,""acid"":8,""poison"":21,""radiation"":28}"
ghoul:feral,Дикий гуль,true,C,14,16450,7,Когти,rend,Рубящая,40,1,3,slashing:100%,meleeCombat,98,82,95,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,2,Боевая броня,650,16,16,24,1,32,16.8,17,8.9,"{""piercing"":11,""slashing"":12,""bludgeoning"":9,""firearm"":9,""energy"":7,""fire"":5,""cryo"":7,""electric"":4,""acid"":7,""poison"":18,""radiation"":24}"
ghoul:feral,Дикий гуль,true,C,14,16450,7,Укус,puncture,Пробивная,26,1,11,piercing:100%,meleeCombat,98,82,95,meleeAttack:3 ОД; aimedMeleeAttack:4 ОД,meleeAttack,3,2,Боевая броня,650,0,0,26,7,52,27.4,26,13.7,"{""piercing"":11,""slashing"":12,""bludgeoning"":9,""firearm"":9,""energy"":7,""fire"":5,""cryo"":7,""electric"":4,""acid"":7,""poison"":18,""radiation"":24}"
ghoul:reaver,Гуль-потрошитель,true,B,38,113050,12,Когти,rend,Рубящая,80,1,8,slashing:100%,meleeCombat,135,82,95,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,2,"Боевая броня, усиленная",1011,45,45,35,1,15,7.9,9,4.7,"{""piercing"":38,""slashing"":42,""bludgeoning"":32,""firearm"":30,""energy"":25,""fire"":19,""cryo"":23,""electric"":15,""acid"":23,""poison"":63,""radiation"":84}"
ghoul:reaver,Гуль-потрошитель,true,B,38,113050,12,Потрошение,flurry,Серия,35,1,5,slashing:100%,meleeCombat,135,82,95,burst:9 ОД×3,burst,9,1,"Боевая броня, усиленная",1011,0,0,105,3,17,17.9,7,7.4,"{""piercing"":38,""slashing"":42,""bludgeoning"":32,""firearm"":30,""energy"":25,""fire"":19,""cryo"":23,""electric"":15,""acid"":23,""poison"":63,""radiation"":84}"
ghoul:reaver,Гуль-потрошитель,true,B,38,113050,12,Укус,puncture,Пробивная,55,1,28,piercing:100%,meleeCombat,135,82,95,meleeAttack:5 ОД; aimedMeleeAttack:6 ОД,meleeAttack,5,2,"Боевая броня, усиленная",1011,26,26,29,1,22,11.6,13,6.8,"{""piercing"":38,""slashing"":42,""bludgeoning"":32,""firearm"":30,""energy"":25,""fire"":19,""cryo"":23,""electric"":15,""acid"":23,""poison"":63,""radiation"":84}"
ghoul:berserker,Гуль-берсерк,true,B,46,164450,13,Когти,rend,Рубящая,90,1,10,slashing:100%,meleeCombat,140,82,95,meleeAttack:6 ОД; aimedMeleeAttack:7 ОД,meleeAttack,6,2,"Боевая броня, усиленная",1011,57,57,33,1,12,6.3,8,4.2,"{""piercing"":45,""slashing"":50,""bludgeoning"":38,""firearm"":36,""energy"":30,""fire"":23,""cryo"":28,""electric"":18,""acid"":28,""poison"":75,""radiation"":100}"
ghoul:berserker,Гуль-берсерк,true,B,46,164450,13,Укус,puncture,Пробивная,65,1,35,piercing:100%,meleeCombat,140,82,95,meleeAttack:6 ОД; aimedMeleeAttack:7 ОД,meleeAttack,6,2,"Боевая броня, усиленная",1011,43,43,22,1,15,7.9,11,5.8,"{""piercing"":45,""slashing"":50,""bludgeoning"":38,""firearm"":36,""energy"":30,""fire"":23,""cryo"":28,""electric"":18,""acid"":28,""poison"":75,""radiation"":100}"
ghoul:glowing,Светящийся гуль,true,B,30,71250,9,Когти,rend,Рубящая,60,1,6,slashing:65% + radiation:35%,meleeCombat,120,82,95,meleeAttack:4 ОД; aimedMeleeAttack:5 ОД,meleeAttack,4,2,"Боевая броня, усиленная",1011,2,2,37,1,44,23.2,18,9.5,"{""piercing"":27,""slashing"":30,""bludgeoning"":23,""firearm"":22,""energy"":18,""fire"":14,""cryo"":17,""electric"":11,""acid"":17,""poison"":45,""radiation"":60}"
